"";"animal";"Class";"Day";"Rate"
"271";"d2_s31";"across";"Day 2";0,067678326
"272";"d2_s32";"across";"Day 2";0,07129114
"273";"d2_s33";"across";"Day 2";0,227419876
"274";"d2_s34";"across";"Day 2";0,029827624
"275";"d2_s35";"across";"Day 2";0,113439807
"276";"d2_s36";"across";"Day 2";0,748284498
"277";"d2_s37";"across";"Day 2";0,19236464
"278";"d2_s38";"across";"Day 2";0,197639404
"279";"d2_s39";"across";"Day 2";0,325948976
"280";"d2_s40";"across";"Day 2";0,333154572
"281";"d2_s41";"across";"Day 2";0,145545227
"282";"d2_s42";"across";"Day 2";0,653707867
"283";"d2_s43";"across";"Day 2";0,784702491
"284";"d2_s44";"across";"Day 2";1,281936293
"285";"d2_s45";"across";"Day 2";0,408529697
"286";"d2_s46";"across";"Day 2";1,081781721
"287";"d2_s47";"across";"Day 2";0,318180372
"288";"d2_s48";"across";"Day 2";0,125026447
"289";"d2_s49";"across";"Day 2";0,11753305
"290";"d2_s50";"across";"Day 2";0,113576224
"291";"d2_s51";"across";"Day 2";0,110550537
"292";"d2_s52";"across";"Day 2";0,089385045
"293";"d2_s53";"across";"Day 2";0,235736432
"294";"d2_s54";"across";"Day 2";0,046653724
"295";"d2_s55";"across";"Day 2";0,070073433
"296";"d2_s56";"across";"Day 2";0,02609963
"297";"d2_s57";"across";"Day 2";0,129606648
"298";"d2_s58";"across";"Day 2";0,061188487
"299";"d2_s59";"across";"Day 2";0,283948388
"300";"d2_s60";"across";"Day 2";0,239378953
"301";"d2_s61";"across";"Day 2";0,223573863
"302";"d2_s62";"across";"Day 2";0,176297424
"303";"d2_s63";"across";"Day 2";0,02498632
"304";"d2_s64";"across";"Day 2";0,094195269
"305";"d2_s65";"across";"Day 2";0,026547934
"306";"d2_s66";"across";"Day 2";0,170925777
"307";"d2_s67";"across";"Day 2";0,059143889
"308";"d2_s68";"across";"Day 2";0,212801204
"309";"d2_s69";"across";"Day 2";0,08778949
"310";"d2_s70";"across";"Day 2";0,237377452
"311";"d2_s71";"across";"Day 2";0,044345598
"312";"d2_s72";"across";"Day 2";0,066285529
"313";"d2_s73";"across";"Day 2";0,192816463
"314";"d2_s74";"across";"Day 2";0,190217764
"315";"d2_s75";"across";"Day 2";0,082477374
"316";"d2_s76";"across";"Day 2";0,121224336
"317";"d2_s77";"across";"Day 2";0,039191414
"318";"d2_s78";"across";"Day 2";0,437311398
"319";"d2_s79";"across";"Day 2";0,241059827
"320";"d2_s80";"across";"Day 2";0,252410055
"321";"d3_s1";"within";"Day 3";0,275728092
"322";"d3_s2";"within";"Day 3";0,247970785
"323";"d3_s3";"within";"Day 3";0,035431619
"324";"d3_s4";"within";"Day 3";0,219652683
"325";"d3_s5";"within";"Day 3";0,132404869
"326";"d3_s6";"within";"Day 3";0,169176293
"327";"d3_s7";"within";"Day 3";0,089243532
"328";"d3_s8";"within";"Day 3";0,062885621
"329";"d3_s9";"within";"Day 3";0,020649362
"330";"d3_s10";"within";"Day 3";0,241357815
"331";"d3_s11";"within";"Day 3";0,126498782
"332";"d3_s12";"within";"Day 3";0,131588801
"333";"d3_s13";"within";"Day 3";0,346007083
"334";"d3_s14";"within";"Day 3";0,101153338
"335";"d3_s15";"within";"Day 3";0,136165694
"336";"d3_s16";"within";"Day 3";0,079658885
"337";"d3_s17";"within";"Day 3";0,07741605
"338";"d3_s18";"within";"Day 3";0,134244107
"339";"d3_s19";"within";"Day 3";0,515645212
"340";"d3_s20";"within";"Day 3";0,43572574
"341";"d3_s21";"within";"Day 3";0,119459408
"342";"d3_s22";"within";"Day 3";0,155343718
"343";"d3_s23";"within";"Day 3";0,1567888
"344";"d3_s24";"within";"Day 3";0,144329038
"345";"d3_s25";"within";"Day 3";0,090224399
"346";"d3_s26";"within";"Day 3";0,061224505
"347";"d3_s27";"within";"Day 3";0,056131374
"348";"d3_s28";"within";"Day 3";0,218964913
"349";"d3_s29";"within";"Day 3";0,08557514
"350";"d3_s30";"within";"Day 3";0,296919443
"351";"d3_s31";"within";"Day 3";0,034854456
"352";"d3_s32";"within";"Day 3";0,07482958
"353";"d3_s33";"within";"Day 3";0,085649505
"354";"d3_s34";"within";"Day 3";0,063606595
"355";"d3_s35";"within";"Day 3";0,068507096
"356";"d3_s36";"within";"Day 3";0,116030261
"357";"d3_s37";"within";"Day 3";0,034004405
"358";"d3_s38";"within";"Day 3";0,053650771
"359";"d3_s39";"within";"Day 3";0,052574695
"360";"d3_s40";"within";"Day 3";0,205876537
"361";"d3_s41";"within";"Day 3";0,215813527
"362";"d3_s42";"within";"Day 3";0,214052705
"363";"d3_s43";"within";"Day 3";0,064583498
"364";"d3_s44";"within";"Day 3";0,083200783
"365";"d3_s45";"within";"Day 3";0,162882896
"366";"d3_s46";"within";"Day 3";0,139055924
"367";"d3_s47";"within";"Day 3";0,770045878
"368";"d3_s48";"within";"Day 3";1,30688837
"369";"d3_s49";"within";"Day 3";0,305134989
"370";"d3_s50";"within";"Day 3";0,18314824
"371";"d3_s51";"within";"Day 3";0,626603893
