"";"Subject";"Context";"Day";"CellType";"BMROrder";"bmr";"N";"Ntt";"Perc";"animal";"trialA";"trialB";"contextA";"contextB";"isCoherent";"rot1";"rot2";"rot3";"rot4"
"121";"CMG129_CA1_TA10_TB12";"within";"2";"FI";"C_3";"1";33;154;0,214285714285714;"CMG129_CA1";10;12;2;2;1;0,37;0,26;0,214;0,156
"122";"CMG129_CA1_TA10_TB12";"within";"2";"FI";"C_1";"2";57;154;0,37012987012987;"CMG129_CA1";10;12;2;2;1;0,37;0,26;0,214;0,156
"123";"CMG129_CA1_TA10_TB12";"within";"2";"FI";"C_4";"3";24;154;0,155844155844156;"CMG129_CA1";10;12;2;2;1;0,37;0,26;0,214;0,156
"124";"CMG129_CA1_TA10_TB12";"within";"2";"FI";"C_2";"4";40;154;0,25974025974026;"CMG129_CA1";10;12;2;2;1;0,37;0,26;0,214;0,156
"125";"CMG129_CA1_TA10_TB12";"within";"2";"FS";"C_4";"1";1;10;0,1;"CMG129_CA1";10;12;2;2;0;0,4;0,3;0,2;0,1
"126";"CMG129_CA1_TA10_TB12";"within";"2";"FS";"C_3";"2";2;10;0,2;"CMG129_CA1";10;12;2;2;0;0,4;0,3;0,2;0,1
"127";"CMG129_CA1_TA10_TB12";"within";"2";"FS";"C_1";"3";4;10;0,4;"CMG129_CA1";10;12;2;2;0;0,4;0,3;0,2;0,1
"128";"CMG129_CA1_TA10_TB12";"within";"2";"FS";"C_2";"4";3;10;0,3;"CMG129_CA1";10;12;2;2;0;0,4;0,3;0,2;0,1
"129";"CMG129_CA1_TA10_TB12";"within";"3";"FI";"C_3";"1";18;124;0,145161290322581;"CMG129_CA1";10;12;2;2;1;0,508;0,226;0,145;0,121
"130";"CMG129_CA1_TA10_TB12";"within";"3";"FI";"C_4";"2";15;124;0,120967741935484;"CMG129_CA1";10;12;2;2;1;0,508;0,226;0,145;0,121
"131";"CMG129_CA1_TA10_TB12";"within";"3";"FI";"C_2";"3";28;124;0,225806451612903;"CMG129_CA1";10;12;2;2;1;0,508;0,226;0,145;0,121
"132";"CMG129_CA1_TA10_TB12";"within";"3";"FI";"C_1";"4";63;124;0,508064516129032;"CMG129_CA1";10;12;2;2;1;0,508;0,226;0,145;0,121
"133";"CMG129_CA1_TA10_TB12";"within";"3";"FS";"C_3";"1";2;9;0,222222222222222;"CMG129_CA1";10;12;2;2;0;0,444;0,333;0,222;0
"134";"CMG129_CA1_TA10_TB12";"within";"3";"FS";"C_2";"2";3;9;0,333333333333333;"CMG129_CA1";10;12;2;2;0;0,444;0,333;0,222;0
"135";"CMG129_CA1_TA10_TB12";"within";"3";"FS";"C_4";"3";0;9;0;"CMG129_CA1";10;12;2;2;0;0,444;0,333;0,222;0
"136";"CMG129_CA1_TA10_TB12";"within";"3";"FS";"C_1";"4";4;9;0,444444444444444;"CMG129_CA1";10;12;2;2;0;0,444;0,333;0,222;0
"137";"CMG129_CA1_TA11_TB12";"across";"1";"FI";"C_1";"1";64;168;0,380952380952381;"CMG129_CA1";11;12;1;2;1;0,381;0,345;0,155;0,119
"138";"CMG129_CA1_TA11_TB12";"across";"1";"FI";"C_2";"2";58;168;0,345238095238095;"CMG129_CA1";11;12;1;2;1;0,381;0,345;0,155;0,119
"139";"CMG129_CA1_TA11_TB12";"across";"1";"FI";"C_4";"3";20;168;0,119047619047619;"CMG129_CA1";11;12;1;2;1;0,381;0,345;0,155;0,119
"140";"CMG129_CA1_TA11_TB12";"across";"1";"FI";"C_3";"4";26;168;0,154761904761905;"CMG129_CA1";11;12;1;2;1;0,381;0,345;0,155;0,119
"141";"CMG129_CA1_TA11_TB12";"across";"1";"FS";"C_1";"1";7;21;0,333333333333333;"CMG129_CA1";11;12;1;2;0;0,333;0,286;0,19;0,19
"142";"CMG129_CA1_TA11_TB12";"across";"1";"FS";"C_2";"2";6;21;0,285714285714286;"CMG129_CA1";11;12;1;2;0;0,333;0,286;0,19;0,19
"143";"CMG129_CA1_TA11_TB12";"across";"1";"FS";"C_3";"3";4;21;0,19047619047619;"CMG129_CA1";11;12;1;2;0;0,333;0,286;0,19;0,19
"144";"CMG129_CA1_TA11_TB12";"across";"1";"FS";"C_4";"4";4;21;0,19047619047619;"CMG129_CA1";11;12;1;2;0;0,333;0,286;0,19;0,19
"145";"CMG129_CA1_TA11_TB12";"across";"2";"FI";"C_4";"1";24;153;0,156862745098039;"CMG129_CA1";11;12;1;2;1;0,405;0,268;0,17;0,157
"146";"CMG129_CA1_TA11_TB12";"across";"2";"FI";"C_3";"2";26;153;0,169934640522876;"CMG129_CA1";11;12;1;2;1;0,405;0,268;0,17;0,157
